TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Gragas,Jayce,Lillia,Jinx,Lulu,Lose,49287,54987,0,18,0,0,1,1,100
Kennen,Zac,LeeSin,Aphelios,Lulu,Win,74415,72531,1,42,3,1,1,7,200
Ahri,Illaoi,Nidalee,Jinx,Thresh,Lose,64631,73231,0,39,1,2,1,7,100
Sylas,KSante,RekSai,Kalista,Rell,Win,66440,65806,1,37,4,2,1,10,200
Malphite,Katarina,Khazix,Jinx,Milio,Lose,57131,62841,0,24,0,0,1,2,100
KSante,Zoe,LeeSin,Aphelios,Thresh,Win,34707,4875,0,17,0,0,2,3,100
Kayle,Yone,Khazix,Ezreal,Senna,Lose,31406,34886,0,6,1,0,0,0,200
Sett,Syndra,Karthus,Aphelios,Blitzcrank,Win,86061,99994,2,26,3,6,0,11,200
Rumble,KSante,Viego,Jinx,Milio,Lose,90869,98569,1,34,2,0,1,3,100
Malphite,Galio,Amumu,Draven,Nautilus,Win,90530,11765,2,26,5,2,0,7,100
Camille,Leblanc,Khazix,Jinx,Milio,Lose,97257,107832,1,43,1,2,2,8,200
Irelia,Syndra,Shaco,Aphelios,TahmKench,Win,55700,7800,1,33,3,0,2,4,100
KSante,Neeko,JarvanIV,Jinx,Thresh,Lose,45893,51493,0,21,0,0,0,0,200
Camille,Katarina,Hecarim,KogMaw,Swain,Win,76047,9650,2,32,3,2,1,11,100
KSante,Jayce,Nidalee,Jinx,Lulu,Lose,69168,77768,0,22,0,0,1,5,200
Yone,Syndra,Nidalee,Jhin,Karma,Win,44781,38833,0,29,1,0,1,4,200
Darius,Sylas,Maokai,Draven,Janna,Lose,33108,36933,0,9,0,0,0,1,100
Vladimir,Veigar,MasterYi,Aphelios,Renata,Win,51712,5500,0,21,1,0,1,8,100
Malphite,Cassiopeia,Gragas,Draven,Rakan,Lose,43372,49122,0,15,1,0,1,1,200
Tryndamere,KSante,Maokai,Aphelios,Thresh,Win,87011,79911,2,51,3,3,1,11,200
Jayce,Diana,Karthus,Jinx,Rakan,Lose,69661,77586,0,32,0,0,1,2,100
