TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Gragas,Ahri,Vi,Jhin,Ashe,Lose,67902,74777,0,26,0,0,2,1,100
MonkeyKing,Galio,Talon,Aphelios,Milio,Win,63246,59801,1,26,2,4,1,11,200
Gnar,Viktor,Elise,Jinx,Lulu,Lose,51976,58701,0,14,1,0,1,3,100
Gangplank,Zed,Diana,Samira,Orianna,Win,72312,73512,1,37,4,3,0,11,200
Aatrox,Zilean,Sylas,Ezreal,Gangplank,Lose,62862,70612,0,27,0,0,1,1,100
Darius,Azir,Khazix,Samira,Rakan,Win,70076,7650,1,23,4,1,2,9,100
Jayce,Ahri,Graves,Kaisa,Thresh,Lose,57224,62899,0,10,0,0,0,2,200
KSante,Cassiopeia,Nidalee,Xayah,Blitzcrank,Win,62642,59238,1,35,4,2,0,10,200
Zac,Leblanc,Belveth,Ezreal,Lulu,Lose,51263,57238,0,21,0,0,2,1,100
KSante,Cassiopeia,Nidalee,Xayah,Kayle,Win,91804,13750,0,58,0,1,0,4,100
Zac,Leblanc,Belveth,Ezreal,Illaoi,Lose,83563,94763,0,44,0,0,0,1,200
Gwen,LeeSin,Diana,Samira,Nautilus,Win,63808,5550,1,33,2,2,1,10,100
Gragas,Orianna,MonkeyKing,Aphelios,Braum,Lose,50682,56257,0,24,1,0,1,2,200
Kennen,Qiyana,LeeSin,Jinx,Karma,Win,68901,67056,1,54,1,3,2,11,200
MasterYi,Talon,Rumble,Aphelios,Yuumi,Lose,57681,64506,0,35,2,0,0,2,100
Yorick,Katarina,RekSai,Varus,Amumu,Win,50162,6035,1,18,2,0,2,5,100
Fiora,Vi,Rumble,Jhin,Ashe,Lose,40295,45120,0,8,1,0,0,2,200
Olaf,Syndra,LeeSin,Ezreal,Pyke,Win,32185,32658,0,23,1,0,1,3,200
Sion,Akshan,Karthus,Aphelios,Rakan,Lose,27708,31408,0,10,0,0,0,0,100
LeeSin,Ahri,Ekko,Kaisa,Milio,Win,48836,47559,0,32,3,0,1,6,200
Jax,Fizz,Khazix,Zeri,Twitch,Lose,40534,46809,0,17,0,0,1,3,100
TahmKench,Yasuo,JarvanIV,Kaisa,Blitzcrank,Win,77280,74869,1,33,5,3,1,9,200
Shen,Ahri,LeeSin,Samira,Shaco,Lose,65644,72854,1,16,0,0,1,1,100
Pantheon,Cassiopeia,MasterYi,Jhin,Nautilus,Win,29443,3600,0,16,1,0,1,1,100
Poppy,TwistedFate,Nidalee,Jinx,Thresh,Lose,27980,30655,0,3,1,0,0,0,200
Pantheon,Cassiopeia,MasterYi,Jhin,Shyvana,Win,45430,47782,0,32,0,1,0,4,200
Poppy,TwistedFate,Nidalee,Jinx,Thresh,Lose,39232,45732,0,20,0,0,0,0,100
Gwen,Zed,Graves,Ezreal,Rakan,Win,73077,7650,1,36,2,1,1,9,100
Maokai,Yone,JarvanIV,Varus,Heimerdinger,Lose,61857,72982,0,20,2,0,0,1,200
Warwick,Ahri,Amumu,Xayah,Blitzcrank,Win,32115,29480,0,20,1,0,1,3,200
Aatrox,Kassadin,LeeSin,Aphelios,Alistar,Lose,26045,28945,0,5,0,0,0,0,100
Poppy,Seraphine,Khazix,Kaisa,Pyke,Win,57405,57569,1,36,3,1,2,6,200
Jayce,Vladimir,RekSai,Twitch,Rakan,Lose,49369,55119,0,24,0,0,0,2,100
Poppy,Seraphine,Khazix,Kaisa,Shaco,Win,85088,84278,0,61,0,2,0,4,200
Jayce,Vladimir,RekSai,Twitch,Ekko,Lose,73693,85293,0,40,0,0,0,0,100
Poppy,Seraphine,Khazix,Kaisa,MasterYi,Win,107962,13700,0,64,0,2,0,4,100
Jayce,Vladimir,RekSai,Twitch,Viego,Lose,98805,115555,0,60,0,0,0,2,200
Gangplank,Kennen,Nidalee,Draven,Nami,Win,109150,113377,3,41,5,3,1,11,200
Nasus,Ahri,LeeSin,MissFortune,Soraka,Lose,103402,113602,0,42,1,1,1,6,100
Gangplank,Kennen,Nidalee,Draven,Soraka,Win,73342,69245,0,75,0,1,0,4,200
Nasus,Ahri,LeeSin,MissFortune,Maokai,Lose,60845,70845,0,32,0,0,0,0,100
Neeko,Zed,Khazix,Aphelios,Rell,Win,42300,39468,0,21,3,0,2,6,200
Rumble,Sylas,Shaco,Kaisa,Thresh,Lose,34518,38843,0,14,0,0,0,0,100
Teemo,Qiyana,Kayn,Zeri,Yuumi,Win,61269,53199,0,50,2,2,1,10,200
Udyr,Ryze,Mordekaiser,Draven,Rakan,Lose,45249,50574,0,16,1,0,1,1,100
Jayce,Vex,Nunu,Jinx,Milio,Win,54148,6225,1,29,2,1,2,8,100
Malphite,Akshan,Ekko,Zeri,Yuumi,Lose,42347,47247,0,16,0,0,0,1,200
Darius,Cassiopeia,Graves,Yasuo,Karma,Win,32547,33821,0,23,1,0,1,3,200
Malphite,Renekton,MasterYi,Zeri,Zilean,Lose,27746,33321,0,11,0,0,0,0,100
KSante,AurelionSol,Warwick,Aphelios,Leona,Win,70819,67591,1,35,3,1,0,7,200
Pantheon,Lissandra,Elise,Kaisa,Nautilus,Lose,60466,67791,1,34,1,0,2,4,100
Sylas,Jayce,Sejuani,Kaisa,Maokai,Win,90142,7985,0,36,2,1,0,7,100
Malphite,Irelia,Elise,Ezreal,Sona,Lose,77914,92209,2,41,3,5,2,10,200
Sylas,Jayce,Sejuani,Kaisa,Heimerdinger,Win,108542,12500,0,63,0,2,0,4,100
Malphite,Irelia,Elise,Ezreal,Lucian,Lose,100204,114804,0,51,0,1,0,3,200
Aatrox,Galio,LeeSin,Jinx,Rakan,Win,30802,32446,0,16,1,0,0,2,200
Kayle,Syndra,Volibear,Xayah,Leona,Lose,28421,31346,0,8,0,0,1,2,100
Ornn,Lissandra,Jax,Draven,Renata,Win,57308,50815,1,31,3,2,0,9,200
Darius,Akali,Rengar,Zeri,Blitzcrank,Lose,43390,49190,0,15,0,0,2,4,100
KSante,Zed,Nidalee,Ezreal,Milio,Win,28539,25153,0,18,0,0,1,4,200
Riven,Cassiopeia,Maokai,Lucian,Yuumi,Lose,21078,23528,0,4,0,0,0,0,100
Gangplank,Irelia,Zed,Caitlyn,Lux,Win,75758,92455,1,49,4,3,1,11,200
Irelia,Fizz,Khazix,Jhin,Swain,Lose,70325,79958,0,33,0,0,0,0,100
Aatrox,Tristana,Ivern,Jinx,Janna,Win,68806,62272,1,40,3,1,1,8,200
Gangplank,Ahri,Kayn,Aphelios,Leona,Lose,55572,62572,0,19,0,0,1,3,100
Jayce,Akali,Viego,Xayah,Zyra,Win,65801,9525,1,34,4,1,1,7,100
KSante,Zed,Nidalee,Aphelios,Rakan,Lose,55448,61598,0,27,0,0,1,3,200
Galio,Annie,MonkeyKing,Lucian,Milio,Win,77548,7275,2,31,2,1,2,10,100
DrMundo,Katarina,Zac,Ezreal,Yuumi,Lose,58405,66055,0,15,1,0,0,5,200
Galio,Annie,MonkeyKing,Lucian,Karma,Win,69764,7800,0,49,0,1,0,4,100
DrMundo,Katarina,Zac,Ezreal,Ahri,Lose,57810,68110,0,23,0,0,0,1,200
Sion,Sylas,Maokai,Xayah,Rakan,Win,84419,9575,2,27,3,0,2,7,100
Yone,Qiyana,Hecarim,Kaisa,Annie,Lose,68623,75398,0,16,1,0,0,2,200
Gnar,Viktor,Nunu,Lucian,Nami,Win,43479,5050,0,20,2,0,2,4,100
Urgot,Yone,Graves,Aphelios,Lulu,Lose,37110,41310,0,7,0,0,0,1,200
Gangplank,Diana,Gragas,Xayah,Alistar,Win,63776,66226,1,25,3,2,1,10,200
Sett,Cassiopeia,LeeSin,Kaisa,Thresh,Lose,51876,57351,0,8,1,0,1,0,100
Kennen,Leblanc,LeeSin,Ezreal,Thresh,Win,34047,7085,0,23,1,0,1,2,100
Ekko,Zed,Hecarim,Ezreal,Thresh,Lose,25139,28739,0,4,0,0,0,0,200
Kennen,Leblanc,LeeSin,Ezreal,Nilah,Win,97588,15050,0,55,0,2,0,4,100
Ekko,Zed,Hecarim,Ezreal,Zeri,Lose,90342,103992,0,51,0,0,0,0,200
Malphite,Annie,Khazix,Aphelios,Nautilus,Win,30268,29467,0,20,2,0,1,1,200
Sylas,Jayce,Elise,Lucian,Milio,Lose,26142,30367,0,10,0,0,0,1,100
KSante,Zoe,Hecarim,Zeri,Yuumi,Win,43183,5325,0,27,1,1,2,6,100
Renekton,Ahri,Kindred,Aphelios,Lulu,Lose,37382,42732,0,15,1,0,0,2,200
Darius,Sylas,Viego,Ezreal,Soraka,Win,43582,5250,0,20,2,1,2,7,100
Gragas,Leblanc,Vi,Jinx,Rakan,Lose,40889,45339,0,12,0,0,0,1,200
Sion,Malphite,Viego,Kaisa,Blitzcrank,Win,33327,4600,0,25,1,0,0,1,100
Irelia,Yasuo,MonkeyKing,Akshan,Karthus,Lose,30946,36946,0,16,1,0,1,2,200
Poppy,Akshan,Graves,Aphelios,Thresh,Win,65506,61485,1,38,3,3,2,10,200
DrMundo,Illaoi,FiddleSticks,Jinx,Milio,Lose,53335,59410,0,19,0,0,0,0,100
Jax,Syndra,JarvanIV,Xayah,Blitzcrank,Win,63128,65383,1,33,3,1,2,8,200
Gwen,Malzahar,Kindred,Ezreal,Thresh,Lose,56158,63508,0,28,1,0,0,4,100
Jax,Syndra,JarvanIV,Xayah,Ziggs,Win,110166,14500,0,56,0,2,0,4,100
Gwen,Malzahar,Kindred,Ezreal,Khazix,Lose,105735,123735,0,60,0,1,0,3,200
Rumble,Viktor,Viego,Jinx,Rell,Win,33701,29217,0,26,2,0,1,3,200
KSante,Akali,Elise,Lucian,Blitzcrank,Lose,25917,29467,0,10,0,0,0,0,100
Gwen,Jax,Rengar,Ezreal,Leona,Win,66980,6175,1,24,1,0,2,4,100
KSante,Leblanc,LeeSin,Xayah,Nautilus,Lose,58654,64604,0,20,1,0,0,3,200
Gwen,Jax,Rengar,Ezreal,Corki,Win,120625,17745,0,81,0,1,0,4,100
KSante,Leblanc,LeeSin,Xayah,TahmKench,Lose,107440,120040,0,54,0,1,0,3,200
Jax,Katarina,LeeSin,Zeri,Braum,Win,69986,83267,0,38,3,1,1,9,200
Quinn,Ahri,Vi,Jinx,Nautilus,Lose,75317,83642,1,37,1,0,1,3,100
Swain,Katarina,MonkeyKing,Jinx,Janna,Win,89243,10000,1,30,5,3,0,11,100
Kayle,Fizz,Zac,Jhin,Ashe,Lose,82861,90661,1,26,0,1,2,6,200
Kled,Viktor,Evelynn,Xayah,Thresh,Win,60740,6475,1,34,2,1,2,5,100
Maokai,Zoe,MasterYi,Jinx,Yuumi,Lose,50648,57523,0,25,1,0,0,2,200
Gwen,Leblanc,Graves,Jinx,Milio,Win,52683,45236,1,26,3,2,2,9,200
Jayce,Syndra,JarvanIV,Zeri,Sona,Lose,40836,46336,0,7,0,0,0,1,100
Jayce,Viktor,Viego,Aphelios,Rakan,Win,47093,54121,0,23,0,2,1,8,200
Kennen,Gragas,Kindred,Zeri,Lulu,Lose,47046,53796,0,26,1,0,1,2,100
Gangplank,Neeko,Volibear,Vayne,Leona,Win,34151,34084,0,17,2,0,1,3,200
Rakan,Akali,Hecarim,Ezreal,Shaco,Lose,30284,34084,0,8,0,0,0,1,100
Poppy,Leblanc,Vi,Jinx,Janna,Win,81508,7800,2,40,1,1,1,8,100
Fiora,Cassiopeia,Diana,Lucian,Yuumi,Lose,63719,70654,0,23,2,1,1,5,200
Ornn,Syndra,JarvanIV,KogMaw,Milio,Win,39333,43024,0,18,2,1,2,7,200
Kled,Neeko,Graves,Zeri,Braum,Lose,36949,41049,0,7,0,0,0,3,100
Shen,Orianna,Khazix,Draven,Amumu,Win,90175,78236,2,39,2,1,0,8,200
Kennen,Ahri,Pantheon,Ezreal,Lulu,Lose,70261,77411,0,20,3,0,2,3,100
Sion,Pantheon,Nidalee,Ashe,Nautilus,Win,81406,9450,1,53,2,2,2,10,100
Kayle,Irelia,Maokai,Aphelios,Braum,Lose,66523,75583,1,24,2,0,0,3,200
KSante,Irelia,Ekko,Aphelios,Leona,Win,61119,60442,1,16,3,1,2,8,200
Camille,Katarina,LeeSin,Jinx,Lulu,Lose,54407,58882,0,13,0,0,0,2,100
KSante,Irelia,Ekko,Aphelios,Jayce,Win,101687,15150,0,68,0,2,0,4,100
Camille,Katarina,LeeSin,Jinx,Karma,Lose,89466,98816,0,44,0,0,0,1,200
KSante,Irelia,Ekko,Aphelios,Gragas,Win,72489,8800,0,49,0,1,0,4,100
Camille,Katarina,LeeSin,Jinx,Veigar,Lose,65780,74680,0,43,0,0,0,0,200
Akshan,Leblanc,RekSai,Jinx,Lulu,Win,75881,71103,1,48,2,1,1,8,200
MasterYi,Sylas,Lillia,Ezreal,Karma,Lose,63628,71963,0,32,1,0,1,4,100
Akshan,Leblanc,RekSai,Jinx,Karthus,Win,97847,15385,0,53,0,2,0,4,100
MasterYi,Sylas,Lillia,Ezreal,Renata,Lose,89487,101337,0,52,0,1,0,2,200
Poppy,Annie,Kindred,Aphelios,Renata,Win,64696,55716,1,31,3,2,1,9,200
Jayce,AurelionSol,Khazix,Ashe,Nautilus,Lose,48466,53741,0,11,1,0,1,1,100
Jax,Fizz,Khazix,Xayah,Pantheon,Win,32108,34465,0,14,1,0,2,1,200
Irelia,Zoe,LeeSin,Jinx,Milio,Lose,30440,34015,0,8,1,0,0,0,100
Jayce,Viktor,Sylas,Jinx,Nautilus,Win,88706,78325,2,41,3,3,2,10,200
Illaoi,Lucian,FiddleSticks,Aphelios,Milio,Lose,70050,77350,0,29,1,0,0,4,100
Jayce,Viktor,Sylas,Jinx,Kaisa,Win,96014,13000,0,32,0,1,0,4,100
Illaoi,Lucian,FiddleSticks,Aphelios,Rakan,Lose,87374,97324,0,29,0,0,0,0,200
Aatrox,Leblanc,Khazix,Draven,Nautilus,Win,33249,4575,0,17,1,0,1,2,100
Jayce,Ahri,RekSai,Tristana,Blitzcrank,Lose,28689,31799,0,10,0,0,1,0,200
Irelia,Talon,Karthus,Jinx,Blitzcrank,Win,41981,4375,0,34,2,1,2,7,100
Jayce,Ahri,Zed,Aphelios,Milio,Lose,30679,34704,0,14,0,0,0,1,200
Jayce,Ahri,LeeSin,Twitch,Rakan,Win,40465,39739,0,16,1,0,2,2,200
Olaf,Yasuo,Nidalee,Ezreal,Karma,Lose,35254,39379,0,10,1,0,0,2,100
Malphite,Leblanc,Khazix,Varus,Blitzcrank,Win,80187,80788,0,48,3,1,1,7,200
Irelia,Nocturne,Viego,Jinx,Anivia,Lose,72188,83473,1,32,2,0,1,6,100
Illaoi,Brand,LeeSin,Jhin,Karma,Win,76873,8975,1,46,3,4,1,10,100
Kayle,Swain,Khazix,Ezreal,Shaco,Lose,71209,80194,0,27,0,0,1,1,200
Illaoi,Yasuo,Sylas,Xayah,Karma,Win,50951,45809,0,29,1,1,2,8,200
Riven,Ahri,Khazix,Twitch,Lulu,Lose,40359,46284,0,15,2,0,0,0,100
Illaoi,Yasuo,Sylas,Xayah,Lux,Win,94954,99185,0,68,0,2,0,4,200
Riven,Ahri,Khazix,Twitch,Kayle,Lose,88435,100510,0,51,0,0,0,1,100
Riven,TwistedFate,Poppy,Kaisa,Neeko,Win,79976,10025,1,44,4,1,2,9,100
Camille,Irelia,Talon,Jinx,FiddleSticks,Lose,65497,73147,1,20,0,0,0,4,200
Shen,Zeri,FiddleSticks,Sylas,Sett,Win,56666,6075,1,33,3,2,1,10,100
Tryndamere,Chogath,Qiyana,Kaisa,Nautilus,Lose,44744,49994,0,19,0,0,0,1,200
Viego,Ahri,Talon,Zeri,Braum,Win,42967,40477,0,20,2,0,0,2,200
KSante,Zed,Elise,Draven,Blitzcrank,Lose,35727,40902,0,13,0,0,2,3,100
Viego,Ahri,Talon,Zeri,Senna,Win,63601,11050,0,43,0,1,0,4,100
KSante,Zed,Elise,Draven,Blitzcrank,Lose,55960,63010,0,33,0,0,0,0,200
Singed,Ahri,Kindred,Varus,Xerath,Win,62594,58090,1,26,2,2,1,10,200
Shen,Akshan,Nunu,Jinx,Milio,Lose,50315,56065,0,10,2,0,1,2,100
Cassiopeia,Fiora,Belveth,Jinx,Renata,Win,34203,5060,0,24,0,0,1,4,100
Rumble,Fizz,Graves,Xayah,Rakan,Lose,27375,30325,0,12,1,0,0,0,200
Jax,Ahri,Hecarim,Samira,Nautilus,Win,74908,71624,1,35,3,1,0,8,200
Quinn,Katarina,Nunu,KogMaw,Janna,Lose,65374,73224,1,25,0,1,2,8,100
Gragas,Annie,Khazix,Zeri,Milio,Win,88365,87709,1,36,3,3,1,11,200
Jayce,KSante,Lillia,Xayah,Rakan,Lose,78934,88009,1,26,1,1,1,6,100
Garen,Vex,Elise,Xayah,Pyke,Win,44790,7125,0,21,2,0,2,5,100
Jayce,AurelionSol,Vi,Aphelios,Taric,Lose,36913,41488,0,6,1,0,0,0,200
Riven,Yone,Amumu,Kaisa,Nautilus,Win,82854,9200,1,40,2,2,1,11,100
Sion,Ekko,Kindred,Jhin,Milio,Lose,77826,87401,1,48,2,2,1,7,200
Aatrox,Zoe,Khazix,Kaisa,Twitch,Win,56032,11325,1,40,2,3,2,11,100
Rengar,Ahri,Vi,Jinx,Braum,Lose,39986,44261,0,15,0,0,0,1,200
Malphite,Vex,Graves,Ezreal,Braum,Win,58446,54298,1,33,3,0,2,5,200
KSante,Diana,Viego,Varus,Heimerdinger,Lose,47523,55608,0,23,0,0,0,1,100
Malphite,Vex,Graves,Ezreal,Karma,Win,131008,12100,0,79,0,3,0,4,100
KSante,Diana,Viego,Varus,Seraphine,Lose,124974,139124,0,62,0,1,0,2,200
Kennen,Leblanc,Khazix,Ezreal,Karma,Win,55065,6500,1,36,3,1,2,8,100
Cassiopeia,Ahri,LeeSin,Jinx,Nautilus,Lose,43995,50520,0,15,0,0,0,1,200
Jayce,Azir,Shaco,Lucian,Nami,Win,71523,6950,1,36,1,2,2,10,100
Jax,KSante,Nidalee,Zeri,Lulu,Lose,62983,70158,0,28,1,0,0,3,200
Riven,Sylas,Shaco,Lucian,Aatrox,Win,65710,68227,0,27,3,1,2,8,200
Rengar,Akali,Volibear,Samira,Nautilus,Lose,60252,66752,1,23,0,0,0,2,100
KSante,Galio,LeeSin,Tristana,Yuumi,Win,64513,63377,1,30,1,3,2,11,200
Jayce,Vladimir,Belveth,Lucian,Sona,Lose,55227,61202,0,19,3,0,0,3,100
Irelia,Renekton,Nidalee,Aphelios,TahmKench,Win,66739,7775,1,39,2,3,2,10,100
Poppy,Zac,MasterYi,Kaisa,Blitzcrank,Lose,56271,62746,0,30,1,0,0,0,200
Illaoi,Zed,Ekko,Xayah,Lulu,Win,37343,5025,0,23,1,0,1,4,100
Volibear,Cassiopeia,Kindred,Jinx,Rakan,Lose,30442,33242,0,10,0,0,0,0,200
Akshan,Leblanc,Elise,Zeri,Bard,Win,31150,29852,0,23,0,0,1,3,200
Rumble,Sylas,Khazix,Jinx,Karma,Lose,24802,28427,0,7,0,0,0,0,100
Jax,Sylas,Talon,Zeri,Rakan,Win,47988,39982,0,37,2,0,1,7,200
KSante,Neeko,Hecarim,Ashe,Milio,Lose,33957,38132,0,10,0,0,1,0,100
Swain,Zoe,RekSai,Jinx,Lulu,Win,44533,46544,0,22,0,1,2,7,200
Udyr,Katarina,Khazix,Aphelios,Thresh,Lose,41269,46919,0,16,2,0,0,1,100
Swain,Zoe,RekSai,Jinx,Trundle,Win,86306,88552,0,54,0,1,0,4,200
Udyr,Katarina,Khazix,Aphelios,Gnar,Lose,77902,88252,0,46,0,1,0,2,100
TahmKench,Irelia,Ekko,Aphelios,Thresh,Win,40648,4875,0,17,1,0,2,6,100
Rumble,Katarina,LeeSin,Zeri,Rakan,Lose,32120,35695,0,4,0,0,0,0,200
Riven,Neeko,Karthus,Xayah,Rakan,Win,48375,46529,0,30,2,2,1,10,200
Fiora,Sylas,Nocturne,Jinx,Thresh,Lose,40379,45954,0,20,0,0,1,3,100
Jax,Galio,Kindred,Xayah,Rakan,Win,91745,8460,1,41,4,1,0,5,100
Gragas,Irelia,Elise,Kaisa,Taric,Lose,76648,85948,1,39,1,4,2,11,200
Singed,Ahri,Khazix,Samira,Nautilus,Win,58729,52936,1,25,2,0,1,5,200
Renekton,Zac,Poppy,Ezreal,Annie,Lose,47786,52846,0,14,0,0,1,1,100
DrMundo,Zoe,Vi,Zeri,Yuumi,Win,57287,6350,1,26,1,1,1,7,100
Rumble,Qiyana,Elise,Lucian,Nami,Lose,48040,54440,0,17,2,0,1,3,200
Malphite,Anivia,Amumu,Caitlyn,Bard,Win,99982,9100,2,39,1,1,2,8,100
Sion,Ekko,Shaco,Varus,Blitzcrank,Lose,91314,100964,1,38,4,2,0,10,200
Irelia,Shen,Karthus,Draven,Sona,Win,59432,7505,1,28,2,1,1,8,100
Gnar,Renekton,Viego,Swain,Nautilus,Lose,51562,56862,0,20,1,0,1,2,200
KSante,Ahri,Khazix,Xayah,Rakan,Win,42762,38493,0,20,2,0,2,4,200
Camille,Sylas,Sejuani,Aphelios,Seraphine,Lose,33443,37603,0,6,0,0,0,0,100
Gnar,Vladimir,Evelynn,Ezreal,Yuumi,Win,77372,7375,2,37,3,1,0,8,100
Renekton,Zoe,Shaco,Zeri,Rakan,Lose,61887,69337,0,15,1,0,2,4,200
Kennen,Zed,Gragas,Aphelios,Thresh,Win,53522,48258,1,24,2,2,1,10,200
Sett,Viktor,MasterYi,Ezreal,Lulu,Lose,41783,47858,0,8,1,0,1,0,100
Fiora,Gragas,MonkeyKing,Ezreal,Rakan,Win,33491,3575,0,17,1,0,1,3,100
Jayce,Singed,MasterYi,Jhin,Brand,Lose,31478,35678,0,8,1,0,0,1,200
Poppy,Sylas,MonkeyKing,Ezreal,Rakan,Win,53117,52738,1,32,2,2,2,9,200
Kayle,KSante,Elise,Samira,Zilean,Lose,45613,50988,0,9,0,0,0,2,100
Kayle,Gragas,XinZhao,Xayah,Pyke,Win,54457,51472,1,21,2,0,2,6,200
Rengar,Ahri,LeeSin,Jinx,Milio,Lose,44347,48797,0,12,1,0,0,0,100
Camille,Vladimir,Ivern,Zeri,Yuumi,Win,34255,3300,0,18,1,0,0,2,100
Rumble,Pantheon,Viego,Lucian,Nami,Lose,30008,33458,0,4,1,0,1,1,200
Jayce,Lissandra,Kindred,MissFortune,Thresh,Win,62751,59286,1,34,4,0,1,8,200
Sejuani,AurelionSol,LeeSin,Aphelios,Karma,Lose,51961,57736,0,18,0,0,1,1,100
Jayce,Lissandra,Kindred,MissFortune,Irelia,Win,81803,86399,0,59,0,1,0,4,200
Sejuani,AurelionSol,LeeSin,Aphelios,JarvanIV,Lose,75149,87149,0,49,0,1,0,2,100
KSante,Yasuo,Sylas,Aphelios,Milio,Win,55316,51760,1,25,1,1,0,9,200
Rengar,Rumble,Viego,Ezreal,Soraka,Lose,44485,50635,0,24,1,0,1,2,100
Poppy,Ahri,Belveth,Jinx,Nautilus,Win,32486,3975,0,21,1,0,1,4,100
Fiora,Ryze,RekSai,Karthus,Leona,Lose,25291,27866,0,4,1,0,0,0,200
Fiora,Syndra,Graves,Twitch,Soraka,Win,53509,45735,1,23,3,1,1,6,200
KSante,Akali,LeeSin,Zeri,Yuumi,Lose,39910,43860,0,9,0,0,1,1,100
FiddleSticks,Syndra,Graves,Ezreal,Karma,Win,120665,14050,2,63,2,2,1,8,100
Pantheon,Fizz,XinZhao,KogMaw,Pyke,Lose,113845,134190,2,67,4,2,0,9,200
Poppy,Ekko,Kindred,Aphelios,Rakan,Win,92986,94490,1,49,3,2,1,9,200
KSante,AurelionSol,Ivern,Jinx,Bard,Lose,84615,93265,1,41,2,2,1,6,100
Yone,Qiyana,Elise,Kaisa,Blitzcrank,Win,38975,38773,0,30,1,1,2,6,200
Gwen,Akshan,Khazix,Jinx,Maokai,Lose,32773,37373,0,12,1,0,0,0,100
Garen,Taric,MasterYi,Xayah,Yuumi,Win,62468,61525,1,46,3,0,0,2,200
Ornn,Akshan,FiddleSticks,Chogath,Neeko,Lose,52400,61350,0,42,0,0,1,5,100
Gangplank,Viktor,FiddleSticks,Jhin,Janna,Win,61206,4900,0,27,2,1,2,9,100
Maokai,Yasuo,Graves,Chogath,Xerath,Lose,48148,54248,0,11,1,0,0,1,200
Malphite,Galio,Nidalee,Jinx,Milio,Win,56873,11775,0,35,2,2,2,9,100
Jayce,Zed,Shaco,Samira,Milio,Lose,46194,56294,0,18,1,0,0,1,200
Fiora,Lissandra,Kindred,Jhin,Pantheon,Win,33203,4725,0,16,2,0,2,3,100
Kennen,Syndra,LeeSin,Aphelios,Gragas,Lose,27029,29779,0,4,0,0,0,0,200
Yorick,AurelionSol,JarvanIV,MissFortune,Senna,Win,80748,11095,2,24,5,2,0,10,100
Fiora,Vex,LeeSin,Aphelios,Milio,Lose,66411,73011,0,20,0,0,2,2,200
Illaoi,KSante,Khazix,Ezreal,Karma,Win,84362,77019,2,31,3,4,2,11,200
Fiora,Akali,Vi,Jinx,Thresh,Lose,69519,77519,0,31,1,0,0,4,100
Illaoi,KSante,Khazix,Ezreal,Aphelios,Win,108325,16700,0,50,0,1,0,4,100
Fiora,Akali,Vi,Jinx,Leblanc,Lose,98971,112771,0,48,0,1,0,2,200
Illaoi,KSante,Khazix,Ezreal,Lissandra,Win,76962,75772,0,49,0,1,0,2,200
Fiora,Akali,Vi,Jinx,LeeSin,Lose,66772,78672,0,36,0,0,0,1,100
Poppy,Vex,Gragas,Zeri,Nautilus,Win,33117,32995,0,14,1,0,1,2,200
Ornn,Ahri,Khazix,Aphelios,Milio,Lose,29345,32045,0,4,1,0,1,0,100
Gangplank,Irelia,Nidalee,Draven,Janna,Win,50731,11550,0,18,0,0,2,4,100
Swain,Seraphine,Khazix,Aphelios,Nami,Lose,44963,52713,0,9,2,0,0,1,200
KSante,Neeko,Shaco,Zed,Lux,Win,104378,102913,0,63,3,2,1,10,200
Kled,Lillia,Sylas,Ezreal,MasterYi,Lose,87803,103253,0,34,1,0,1,5,100
Sylas,Cassiopeia,JarvanIV,Xayah,Thresh,Win,74370,90629,1,39,3,4,2,11,200
Malphite,Xerath,Kayn,MissFortune,Rakan,Lose,80979,90904,1,44,2,0,0,1,100
Riven,Ekko,Graves,Ezreal,Karma,Win,59193,57420,1,25,2,0,0,3,200
KSante,Galio,LeeSin,Lucian,Pantheon,Lose,50645,57195,0,18,0,0,2,3,100
Nasus,Annie,Khazix,Tristana,Soraka,Win,35176,4450,0,22,2,0,1,2,100
KSante,Cassiopeia,Viego,Zeri,Yuumi,Lose,29180,32755,0,5,0,0,0,1,200
Nasus,Annie,Khazix,Tristana,Braum,Win,53186,6650,0,37,0,1,0,2,100
KSante,Cassiopeia,Viego,Zeri,Malphite,Lose,44987,53487,0,18,0,0,0,0,200
KSante,Yone,Nidalee,Lucian,Milio,Win,54158,6885,1,42,2,1,2,11,100
Kled,Karthus,Kindred,Jinx,Thresh,Lose,40976,46351,0,25,0,0,0,4,200
KSante,Yone,Nidalee,Lucian,Riven,Win,95784,13865,0,73,0,2,0,4,100
Kled,Karthus,Kindred,Jinx,Velkoz,Lose,82852,93052,0,41,0,0,0,0,200
Warwick,Anivia,Volibear,Kindred,Nautilus,Win,61763,8100,1,35,3,1,0,6,100
KSante,Yasuo,Gragas,Kaisa,Leona,Lose,51812,57862,0,21,1,0,2,3,200
Warwick,Anivia,Volibear,Kindred,Khazix,Win,86483,15750,0,51,0,1,0,4,100
KSante,Yasuo,Gragas,Kaisa,MasterYi,Lose,76652,87852,0,35,0,0,0,0,200
Nasus,Diana,Graves,Jinx,Milio,Win,76971,74408,1,24,1,1,0,6,200
KSante,Leblanc,Khazix,Draven,Nautilus,Lose,67823,75148,1,28,3,2,2,11,100
